ID,magnitude,Cadence,duration,latitude,longitude,Teff,Teff_error,logg,logg_error,Type,var_lc,num_peaks,median_peaks,mad_peaks
2282,1.1,1800,27.38,37.84,340.61,6176,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
2283,9.4,1800,82.19,70.18,113.35,5564,200,4.48,0.1, Solar-like;Flare,309.013091254428,53,76.9796796293133,55.3866530824684
2284,8.1,1800,27.38,23.63,243.21,7797,200,-999,-999, Trans/Eclipse,9635.00383277663,5,49.5743075754781,70.303265436995
2285,5.2,1800,27.38,28.63,215.14,6900,200,-999,-999, RR Lyrae; c type,29176348846.6686,4,80.2246289622497,47.5764139597726
2286,6.7,1800,27.4,21.53,139.82,27289,100,4.08,0.1, SPB,25957258.4776359,1,21.9638242894057,0
2287,1,1800,27.38,23.82,329.65,4743,200,3.36,0.1, Solar-like,39895519.3039097,1,21.3019768231878,0
2288,3.8,1800,27.4,46.57,159.68,6775,200,-999,-999, RR Lyrae; c type,511179849842.886,4,93.6692506459949,55.230361757106
2289,2.3,1800,27.38,8.71,197.85,16210,150,4.15,0.14, SPB,25721545762.177,1,7.52105896521091,0
2290,4.6,1800,54.77,67.15,195.12,4999,200,4.56,0.1, Solar-like;Trans/Eclipse;Flare,11734068.8361451,7,29.6861747245239,25.7788804072822
2291,3.1,1800,356.19,78.29,199.72,7498,100,-999,-999, dSct,809951800.412018,16,224.251411326828,6.89442363224232
2292,9.1,1800,27.38,49.81,119.16,6787,200,-999,-999, Trans/Eclipse,4124.46952926761,7,44.8028673835126,44.2831541218639
2293,5,1800,54.77,46.21,243.21,7750,155,3.6,0.15, dSct+gDor hybrid,12328145.1829996,3,83.7574215441925,82.6810432575022
2294,7.8,1800,27.38,16.17,341.14,13930,80,4.35,0.12, SPB,903498.85698745,1,13.2072256303764,0
2295,9.4,1800,54.77,70.5,27.04,7144,100,-999,-999, dSct,578.357515487647,2,224.872814331683,51.0235988203737
2296,5.4,1800,27.38,27.63,163.76,7204,215,4.14,0.4, dSct,52342617.9560298,2,175.947409126063,33.4435421500385
2297,5.7,1800,27.38,53.36,210.04,6891,200,4.36,0.1, Solar-like,16871.1017051843,1,5.51544324115467,0
2298,3.9,1800,54.77,54.19,70.46,4354,300,-999,-999, Trans/Eclipse,72319111762.1238,2,25.757770082669,35.9700525845488
2299,5.1,1800,27.38,38.3,297.29,6182,200,4.23,0.1, Solar-like;Flare,2845167.99286054,1,3.43200343196103,0
2300,8.8,1800,356.19,82.44,0,6440,200,-999,-999, Cepheid;dcep1o,2789462.35880313,107,93.3296911989551,89.3382307031085
2301,9.8,1800,27.38,38.23,131.38,6791,300,-999,-999, Trans/Eclipse,3459973.72125799,2,13.4408602150537,17.3969534050179
2302,5.1,1800,54.79,57.48,159.94,4736,200,2.92,0.1, Solar-like,74495.5528433291,14,94.6486302546905,60.8605155699134
2303,3.6,1800,356.19,80.26,246.46,7555,200,4.23,0.1, Trans/Eclipse,2460739.20782619,41,32.9418038970528,33.7971396237879
2304,9.5,1800,54.79,60.6,26.24,3173,250,-999,-999, LPV;MIRA,8291200.79499625,7,28.6587695831421,19.8284294991844
2305,2.3,1800,27.38,20.13,129.69,16634,100,4.15,0.1, SPB,16381151890.8178,2,19.4145758661887,13.6012544802867
2306,1.6,1800,27.38,42.48,124.57,3084,250,-999,-999, LPV;SR,6948300992577.86,2,40.5359276327018,8.22401433691759
2307,2.5,1800,27.38,9.48,69.18,4929,200,-999,-999, Trans/Eclipse,64966810.2541823,3,20.2726017945927,13.4293478262538
2308,9.7,1800,27.38,7.93,189.18,9885,100,4.15,0.1, SPB,7903.31075843541,1,16.546329723464,0
2309,8.2,1800,27.38,43.18,309.84,6815,200,-999,-999, RR Lyrae; ab type,594036632.781694,11,129.129129127534,95.4054054042269
2310,1.8,1800,27.4,51.72,0,3397,250,-999,-999, LPV;MIRA,4510652154223.4,1,20.8496221000777,0
2311,9.3,1800,27.38,40.35,162.16,6232,200,-999,-999, RR Lyrae; ab type,61440745.78569,10,113.00163272321,76.1238721319924
2312,6.5,1800,27.38,7.49,297.29,4590,200,4.66,0.1, Solar-like;Trans/Eclipse;Flare,33895.5860715776,11,74.2170742161573,93.4972972961418
2313,4.4,1800,27.38,25.42,298.08,7353,200,-999,-999, Trans/Eclipse,2049475.92894508,2,179.107679105466,71.55405405317
2314,8.7,1800,27.38,8.43,34.2,6713,200,-999,-999, RR Lyrae; c type,60403285.6459596,5,102.816658025332,51.2389839288603
2315,6.7,1800,27.38,14.25,34.69,5563,200,-999,-999, Trans/Eclipse,22389.6331370302,2,146.016934506564,62.7677553128533
2316,5.2,1800,54.77,41.72,162.16,13860,70,4.26,0.12, SPB,20107721.5343888,2,19.2837465563464,8.84931129470739
2317,4.2,1800,27.38,18.01,27.04,5860,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
2318,4.9,1800,27.4,51.36,135.12,6638,200,4.31,0.1, Solar-like,150702.420181262,2,24.1171403962102,10.8545219638243
2319,2.5,1800,82.19,67.72,0,5544,300,-999,-999, Trans/Eclipse,1572806829406.1,22,38.1679389312976,35.4197625106021
2320,3.5,1800,27.38,20.08,196.96,6141,200,-999,-999, Trans/Eclipse,NA,NA,NA,NA
2321,8.9,1800,27.4,54.15,276.77,6299,200,4.45,0.1, Solar-like;Trans/Eclipse;Flare,3654.69936758076,21,112.733794515652,79.1378426841402
2322,5.1,1800,27.38,24.2,54.06,5050,200,-999,-999, Trans/Eclipse,568030.995225796,5,75.4830917883772,26.8586956525075
2323,5.9,1800,27.38,27.88,108.1,5985,300,-999,-999, Trans/Eclipse,4129110609.46342,2,14.9342891278375,19.6111111111112
2324,5.9,1800,27.4,12.96,18.89,16420,140,4,0.15, SPB,11489955.1974731,2,28.4573564390079,38.4125891946994
2325,5.2,1800,27.4,31.81,141.66,18440,180,3.91,0.17, SPB,35507518.1104677,1,3.01464254952627,0
2326,8.1,1800,27.37,9.14,256.17,17258,100,4.16,0.1, SPB,64757.5536607546,1,20.8919587279789,0
2327,1.8,1800,27.38,36.87,224.83,5212,200,-999,-999, Trans/Eclipse,1202379584.35673,4,37.1807306816086,29.1598771414809
