ID,magnitude,Cadence,duration,latitude,longitude,Teff,Teff_error,logg,logg_error,Type,var_lc,num_peaks,median_peaks,mad_peaks
162,5.9,1800,27.38,31.95,108.1,5779,200,3.59,0.1,  Solar-like,NA,NA,NA,NA
163,8,1800,27.38,51.49,216.18,6299,200,4.5,0.1,  Solar-like;Flare,NA,NA,NA,NA
164,8.6,1800,54.77,62.86,70.47,13930,80,4.35,0.12,  SPB,366111.736376876,2,24.9027403703812,17.2719635758407
165,7,1800,27.38,31.21,166.01,4767,200,-999,-999,  Trans/Eclipse,625826.36780945,5,112.142304717711,49.0505284867228
166,3.3,1800,27.38,7.21,76.5,22438,100,4.25,0.1,  hybrid,2005701830.61136,3,50.4658385099436,36.4510869569744
167,6.8,1800,27.38,20.39,337.41,16210,150,4.15,0.14,  SPB,8812263.12847002,1,7.24267211988385,0
168,8.2,120,54.8,45.03,299.16,11990,60,4.27,0.09,  SPB,1272902.06384044,171,821.904422016517,829.587794437623
169,10.5,120,27.4,53.16,28.32,14050,80,4.2,0.12,  SPB,11847.8031377503,5,867.219200552534,1201.26055426055
170,10,120,54.8,64.37,189.17,16368,100,4.22,0.1,  SPB,18401.7856647994,49,212.678727001639,248.518295494292
171,12.4,20,27.4,7.83,162.15,6909,200,-999,-999,  Trans/Eclipse,148.410539548344,14,13144.848954462,6943.42705921339
172,13.7,1800,27.38,59.25,208.34,7227,100,-999,-999,  dSct,5.03705758503874,1,190.533493785343,0
173,13.2,20,27.4,37.63,125.3,5672,200,-999,-999,  Trans/Eclipse,77.9511137794465,7,7762.04808099159,4639.83892550914
174,14.2,1800,27.38,26.18,67.97,5698,200,3.54,0.1,  Solar-like,NA,NA,NA,NA
175,12.8,120,27.4,9.68,205.51,13121,100,4.14,0.1,  SPB,189.590129046782,3,59.6455351047973,43.1005653789043
176,6.2,120,54.8,50.98,321.79,15210,110,4.14,0.14,  SPB,21830702.1940285,47,264.054586861342,300.465738759869
177,12.2,1800,27.38,13.61,189.18,7346,257,3.65,0.4,  dSct+gDor hybrid,138.330782978137,3,66.6867228248701,65.4175691946874
178,4.9,1800,54.77,60.68,64.77,5254,200,-999,-999,  Trans/Eclipse,258129506.086053,5,21.3757428071942,16.479671668692
179,11,120,27.4,33.68,27.02,13860,70,4.26,0.12,  SPB,1094.47928417397,23,178.329688638967,135.733885244195
180,15.1,1800,27.38,48.44,214.6,6322,200,3.85,0.1,  Solar-like,NA,NA,NA,NA
181,16.9,1800,27.38,19.65,36.9,7529,263,3.98,0.4,  dSct+gDor hybrid,0.319478039584845,2,134.352859856632,108.242353549716
182,1,1800,54.77,62.35,216.18,5765,200,4.44,0.1,  Solar-like;Trans/Eclipse;Flare,82775275659.7923,10,35.4683195589943,20.5916666665306
183,7.8,1800,27.38,54.98,67.97,7161,100,-999,-999,  dSct,NA,NA,NA,NA
184,11.3,1800,27.38,9.94,318.58,7880,275,3.8,0.4,  dSct+gDor hybrid,NA,NA,NA,NA
185,9.4,1800,27.37,23.74,270.23,5582,300,-999,-999,  Trans/Eclipse,3241288.43948642,2,21.3183252326315,28.4458940909096
186,7.1,120,54.8,50.07,150.13,13690,70,4.23,0.12,  SPB,3662271.86989371,118,796.477561963972,800.482178544355
187,10.2,1800,27.38,18.72,27.04,7498,100,-999,-999,  dSct+gDor hybrid,2985.9831514902,2,34.5602211849856,17.2931570759901
188,5.4,1800,27.38,19.81,216.18,5855,300,-999,-999,  Trans/Eclipse,NA,NA,NA,NA
189,14.3,1800,27.4,13.62,295.39,5800,200,-999,-999,  Trans/Eclipse,NA,NA,NA,NA
